========================= RTP Streams ========================
   Start time      End time     Src IP addr  Port    Dest IP addr  Port       SSRC          Payload  Pkts         Lost   Min Delta(ms)  Mean Delta(ms)   Max Delta(ms)  Min Jitter(ms) Mean Jitter(ms)  Max Jitter(ms) Problems?
   162.637096    179.777203      172.18.0.1  7626      172.18.0.3  6000 0x407614CD            g711A   858     0 (0.0%)          18.244          20.000          21.673           0.048           0.570           0.759 
   162.437945    179.777193      172.18.0.1  7624      172.18.0.3  6000 0x407614CB            g711A   868     0 (0.0%)           0.084          19.999          40.681           0.016           2.416           6.473 
   162.238719    179.777183      172.18.0.1  7622      172.18.0.3  6000 0x407614C9            g711A   878     0 (0.0%)          18.239          19.998          21.672           0.016           0.575           0.768 
   162.037063    179.777175      172.18.0.1  7620      172.18.0.4  6000 0x407614C7            g711A   888     0 (0.0%)          18.237          20.000          21.672           0.042           0.577           0.775 
   161.837477    179.777095      172.18.0.1  7618      172.18.0.2  6000 0x407614C5            g711A   898     0 (0.0%)           0.115          20.000          40.642           0.010           2.388           6.423 
   161.637612    179.777106      172.18.0.1  7616      172.18.0.3  6000 0x407614C3            g711A   908     0 (0.0%)           0.112          19.999          40.644           0.027           2.373           6.514 
   161.437697    179.777114      172.18.0.1  7614      172.18.0.2  6000 0x407614C1            g711A   918     0 (0.0%)          18.204          19.999          21.679           0.045           0.583           0.760 
   161.238254    179.777122      172.18.0.1  7612      172.18.0.4  6000 0x407614BF            g711A   928     0 (0.0%)           0.069          19.999          40.650           0.006           2.378           6.526 
   161.038273    179.777130      172.18.0.1  7610      172.18.0.4  6000 0x407614BD            g711A   938     0 (0.0%)           0.059          19.999          40.649           0.014           2.400           6.532 
   160.838480    179.777137      172.18.0.1  7608      172.18.0.2  6000 0x407614BB            g711A   948     0 (0.0%)          18.230          19.999          21.667           0.031           0.593           0.784 
   160.638347    179.777145      172.18.0.1  7606      172.18.0.2  6000 0x407614B9            g711A   958     0 (0.0%)           0.049          19.999          40.656           0.052           2.372           6.565 
   160.437214    179.777153      172.18.0.1  7604      172.18.0.3  6000 0x407614B7            g711A   968     0 (0.0%)          18.228          20.000          21.672           0.074           0.589           0.786 
   160.238301    179.777160      172.18.0.1  7602      172.18.0.2  6000 0x407614B5            g711A   978     0 (0.0%)           0.038          19.999          40.662           0.052           2.336           6.567 
   160.038309    179.777168      172.18.0.1  7600      172.18.0.4  6000 0x407614B3            g711A   988     0 (0.0%)           0.019          19.999          40.666           0.012           2.349           6.576 
